id,name,startedAt,endedAt,postureStanding ,postureSittingPublic ,postureSittingPrivate ,postureSitting ,postureLying ,genderMale ,genderFemale ,age0To14 ,age15To24 ,age25To64 ,age65Plus ,activityConsuming ,activityPlaying ,activitySleep ,activityCulturallyEngaged ,activityWaitingTransport ,activityCommercial ,activityPet ,activitySubstanceUse ,activityHomelessCamping ,activityPanhandling ,location
SFCC1,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC2,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,1,,,,,,,,,,"-122.418, 37.7796"
SFCC3,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,1,,,,,,,,,,"-122.418, 37.7796"
SFCC4,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,1,,,,,,,,,,"-122.418, 37.7796"
SFCC5,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC6,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,,,,1,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC7,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC8,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC9,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC10,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC11,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.418, 37.7796"
SFCC12,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.418, 37.7796"
SFCC13,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.418, 37.7796"
SFCC14,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,1,,,,,"-122.418, 37.7796"
SFCC15,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC16,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,,,,,1,,,,,1,,,,1,,,,,,1,,"-122.418, 37.7796"
SFCC17,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC18,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,,1,,,1,,,,,,,,,,,,"-122.418, 37.7796"
SFCC19,Civic Center Plaza,09/22/17 10:00 PM,09/22/17 10:10 PM,1,,,,,1,,,,1,,,,,,,,,,,,"-122.418, 37.7796"
