Unique_ID,Study_ID,Location_ID,Survey_ID,Day_of_Week,Time_of_Day,Date,Start_time,End_time,Conditions,Weather,Temperature,Surveyor,Row_ID,Row_Total,Male,Female,Gender Unknown,Total_Supported_or_Assisted,GroupSize_1,GroupSize_2,GroupSize_3,GroupSize_4,GroupSize_5,GroupSize_6,GroupSize_7,GroupSize_8,GroupSize_9,GroupSize_10+,Notes
0,2018 People Moving Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0801,0811,,Heavy Clouds,58,UD4H,1,10,,,,,6,2,0,0,0,0,0,0,0,0,
1,2018 People Moving Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0811,0821,,Heavy Clouds,58,UD4H,2,21,12,9,0,0,,,,,,,,,,,
2,2018 People Moving Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1200,1210,,Heavy Clouds,60,UD4H,1,38,,,,,26,3,2,0,0,0,0,0,0,0,
3,2018 People Moving Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1210,1220,,Heavy Clouds,60,UD4H,2,32,10,22,0,1,,,,,,,,,,,
4,2018 People Moving Counts,MAP1,Weekday1_Evening,Weekday,Evening,20180802,1600,1610,,Heavy Clouds,67,UD4H,1,38,,,,,18,4,4,0,0,0,0,0,0,0,
5,2018 People Moving Counts,MAP1,Weekday1_Evening,Weekday,Evening,20180802,1610,1620,,Heavy Clouds,67,UD4H,2,39,16,22,1,0,,,,,,,,,,,
6,2018 People Moving Counts,MAP1,Weekday2_Morning,Weekday,Morning,20180803,0800,0810,,Heavy Clouds,59,UD4H,1,19,,,,,8,2,1,1,0,0,0,0,0,0,
7,2018 People Moving Counts,MAP1,Weekday2_Morning,Weekday,Morning,20180803,0811,0821,,Heavy Clouds,59,UD4H,2,19,10,8,1,0,,,,,,,,,,,
8,2018 People Moving Counts,MAP1,Weekday2_Midday,Weekday,Midday,20180803,1210,1220,,Light Clouds,68,UD4H,1,29,,,,,17,4,0,1,0,0,0,0,0,0,
9,2018 People Moving Counts,MAP1,Weekday2_Midday,Weekday,Midday,20180803,1220,1230,,Light Clouds,68,UD4H,2,27,10,15,2,1,,,,,,,,,,,
10,2018 People Moving Counts,MAP1,Weekday2_Evening,Weekday,Evening,20180803,1616,1626,,Sun-Shaded,73,UD4H,1,37,,,,,12,8,1,0,0,1,0,0,0,0,
11,2018 People Moving Counts,MAP1,Weekday2_Evening,Weekday,Evening,20180803,1627,1637,,Sun-Shaded,73,UD4H,2,34,11,22,1,0,,,,,,,,,,,
12,2018 People Moving Counts,MAP1,Weekend_Midday,Weekend,Midday,20180811,1221,1231,,Heavy Clouds,71,UD4H,1,46,,,,,10,11,2,2,0,0,0,0,0,0,
13,2018 People Moving Counts,MAP1,Weekend_Midday,Weekend,Midday,20180811,1231,1241,,Heavy Clouds,71,UD4H,2,43,16,25,2,1,,,,,,,,,,,
14,2018 People Moving Counts,MAP1,Weekend_Evening,Weekend,Evening,20180811,1610,1620,,Sun-Shaded,72,UD4H,1,14,,,,,6,4,0,0,0,0,0,0,0,0,
15,2018 People Moving Counts,MAP1,Weekend_Evening,Weekend,Evening,20180811,1620,1630,,Sun-Shaded,72,UD4H,2,16,10,6,0,0,,,,,,,,,,,
16,2018 People Moving Counts,TUJ1,Weekday1_Morning,Weekday,Morning,20180801,0809,0819,,Heavy Clouds,61,UD4H,1,11,,,,,11,0,0,0,0,0,0,0,0,0,
17,2018 People Moving Counts,TUJ1,Weekday1_Morning,Weekday,Morning,20180801,0820,0830,,Heavy Clouds,61,UD4H,2,16,6,10,0,0,,,,,,,,,,,
18,2018 People Moving Counts,TUJ1,Weekday1_Midday,Weekday,Midday,20180801,1215,1225,,Heavy Clouds,68,UD4H,1,3,,,,,3,0,0,0,0,0,0,0,0,0,
19,2018 People Moving Counts,TUJ1,Weekday1_Midday,Weekday,Midday,20180801,1225,1235,,Heavy Clouds,68,UD4H,2,7,5,2,0,0,,,,,,,,,,,
20,2018 People Moving Counts,TUJ1,Weekday1_Evening,Weekday,Evening,20180801,1630,1640,,Sun-Shaded,77,UD4H,1,12,,,,,6,3,0,0,0,0,0,0,0,0,
21,2018 People Moving Counts,TUJ1,Weekday1_Evening,Weekday,Evening,20180801,1641,1651,,Sun-Shaded,77,UD4H,2,16,7,8,1,1,,,,,,,,,,,
22,2018 People Moving Counts,TUJ1,Weekday2_Morning,Weekday,Morning,20180803,0820,0830,,Light Rain,59,UD4H,1,8,,,,,6,1,0,0,0,0,0,0,0,0,
23,2018 People Moving Counts,TUJ1,Weekday2_Morning,Weekday,Morning,20180803,0830,0840,,Light Rain,59,UD4H,2,8,3,5,0,0,,,,,,,,,,,
24,2018 People Moving Counts,TUJ1,Weekday2_Midday,Weekday,Midday,20180803,1205,1215,,Sun-Exposed,67,UD4H,1,4,,,,,4,0,0,0,0,0,0,0,0,0,
25,2018 People Moving Counts,TUJ1,Weekday2_Midday,Weekday,Midday,20180803,1215,1225,,Sun-Exposed,67,UD4H,2,8,6,2,0,0,,,,,,,,,,,
26,2018 People Moving Counts,TUJ1,Weekday2_Evening,Weekday,Evening,20180803,1606,1616,,Sun-Shaded,74,UD4H,1,5,,,,,3,1,0,0,0,0,0,0,0,0,
27,2018 People Moving Counts,TUJ1,Weekday2_Evening,Weekday,Evening,20180803,1616,1626,,Sun-Shaded,74,UD4H,2,16,7,9,0,0,,,,,,,,,,,
28,2018 People Moving Counts,TUJ1,Weekend_Midday,Weekend,Midday,20180804,1217,1227,,Sun-Exposed,69,UD4H,1,11,,,,,9,1,0,0,0,0,0,0,0,0,
29,2018 People Moving Counts,TUJ1,Weekend_Midday,Weekend,Midday,20180804,1228,1238,,Sun-Exposed,69,UD4H,2,6,2,4,0,0,,,,,,,,,,,
30,2018 People Moving Counts,TUJ1,Weekend_Evening,Weekend,Evening,20180804,1548,1558,,Sun-Shaded,76,UD4H,1,13,,,,,8,1,1,0,0,0,0,0,0,0,
31,2018 People Moving Counts,TUJ1,Weekend_Evening,Weekend,Evening,20180804,1558,1608,,Sun-Shaded,76,UD4H,2,9,4,5,0,0,,,,,,,,,,,
32,2018 People Moving Counts,CAP1,Weekday1_Morning,Weekday,Morning,20180726,0808,0818,,Sun-Shaded,70,UD4H,1,48,,,,,46,1,0,0,0,0,0,0,0,0,
33,2018 People Moving Counts,CAP1,Weekday1_Morning,Weekday,Morning,20180726,0819,0829,,Sun-Shaded,70,UD4H,2,39,27,11,1,0,,,,,,,,,,,
34,2018 People Moving Counts,CAP1,Weekday1_Midday,Weekday,Midday,20180726,1203,1213,,Sun-Shaded,77,UD4H,1,79,,,,,63,8,0,0,0,0,0,0,0,0,
35,2018 People Moving Counts,CAP1,Weekday1_Midday,Weekday,Midday,20180726,1213,1223,,Sun-Shaded,77,UD4H,2,78,56,22,0,0,,,,,,,,,,,
36,2018 People Moving Counts,CAP1,Weekday1_Evening,Weekday,Evening,20180726,1607,1617,,Sun-Shaded,86,UD4H,1,108,,,,,65,17,1,0,0,1,0,0,0,0,
37,2018 People Moving Counts,CAP1,Weekday1_Evening,Weekday,Evening,20180726,1619,1629,,Sun-Shaded,86,UD4H,2,122,81,41,0,0,,,,,,,,,,,
38,2018 People Moving Counts,CAP1,Weekday2_Morning,Weekday,Morning,20180727,0805,0815,,Sun-Shaded,66,UD4H,1,43,,,,,35,4,0,0,0,0,0,0,0,0,
39,2018 People Moving Counts,CAP1,Weekday2_Morning,Weekday,Morning,20180727,0815,0825,,Sun-Shaded,66,UD4H,2,40,26,14,0,0,,,,,,,,,,,
40,2018 People Moving Counts,CAP1,Weekday2_Midday,Weekday,Midday,20180727,1201,1211,,Sun-Shaded,74,UD4H,1,90,,,,,62,9,2,1,0,0,0,0,0,0,
41,2018 People Moving Counts,CAP1,Weekday2_Midday,Weekday,Midday,20180727,1212,1222,,Sun-Shaded,74,UD4H,2,95,51,43,1,1,,,,,,,,,,,
42,2018 People Moving Counts,CAP1,Weekday2_Evening,Weekday,Evening,20180727,1604,1614,,Sun-Shaded,82,UD4H,1,121,,,,,87,14,2,0,0,0,0,0,0,0,
43,2018 People Moving Counts,CAP1,Weekday2_Evening,Weekday,Evening,20180727,1615,1625,,Sun-Shaded,82,UD4H,2,129,74,55,0,3,,,,,,,,,,,
44,2018 People Moving Counts,CAP1,Weekend_Midday,Weekend,Midday,20180728,1211,1221,,Sun-Shaded,73,UD4H,1,123,,,,,69,21,4,0,0,0,0,0,0,0,
45,2018 People Moving Counts,CAP1,Weekend_Midday,Weekend,Midday,20180728,1222,1232,,Sun-Shaded,73,UD4H,2,109,61,48,0,0,,,,,,,,,,,
46,2018 People Moving Counts,CAP1,Weekend_Evening,Weekend,Evening,20180728,1603,1613,,Sun-Shaded,81,UD4H,1,145,,,,,63,21,2,2,4,1,0,0,0,0,
47,2018 People Moving Counts,CAP1,Weekend_Evening,Weekend,Evening,20180728,1614,1624,,Sun-Shaded,81,UD4H,2,127,80,47,0,0,,,,,,,,,,,
48,2018 People Moving Counts,GEO1,Weekday1_Morning,Weekday,Morning,20180906,0800,0810,,Sun-Shaded,60,UD4H,1,9,,,,,9,0,0,0,0,0,0,0,0,0,
49,2018 People Moving Counts,GEO1,Weekday1_Morning,Weekday,Morning,20180906,0810,0820,,Sun-Shaded,60,UD4H,2,5,4,1,0,0,,,,,,,,,,,
50,2018 People Moving Counts,GEO1,Weekday1_Midday,Weekday,Midday,20180906,1200,1210,,Sun-Shaded,71,UD4H,1,14,,,,,7,2,1,0,0,0,0,0,0,0,
51,2018 People Moving Counts,GEO1,Weekday1_Midday,Weekday,Midday,20180906,1210,1220,,Sun-Shaded,71,UD4H,2,19,12,7,0,0,,,,,,,,,,,
52,2018 People Moving Counts,GEO1,Weekday1_Evening,Weekday,Evening,20180906,1600,1610,,Sun-Exposed,84,UD4H,1,5,,,,,3,1,0,0,0,0,0,0,0,0,
53,2018 People Moving Counts,GEO1,Weekday1_Evening,Weekday,Evening,20180906,1610,1620,,Sun-Exposed,84,UD4H,2,3,2,1,0,0,,,,,,,,,,,
