Unique_ID,Study_ID,Location_ID,Survey_ID,Day_of_Week,Time_of_Day,Date,Start_time,End_time,Conditions,Weather,Temperature,Surveyor,Row_ID,Row_Total,Group_Size,Male,Female,Gender_Unknown,White,BlackAfricanAmerican,AmericanIndian_AlaskanNative,Asian,NativeHawaiian_PacificIslander,Latino,Multiple_Races,Race_Unknown,Age_0-4,Age_5-14,Age_15-24,Age_25-44,Age_45-64,Age_65+,Standing,Leaning,SittingFormal_Public,SittingFormal_Commercial,SittingFormal_Private,SittingInformal,Lying,Mobility_Assistance_Device,CommercialActivity_Providing,CommercialActivity_Buying,CommercialActivity_Observing,Eating/Drinking,Talking,CulturalActivity,UsingElectronics,ActiveRecreation,PassiveRecreation,WaitingTransportation,CivicWork,Smoking,DisruptiveActivity_Aggressive,DisruptiveActivity_Intoxicated,LivingActivities,Soliciting,Notes
0,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,1,1,3,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,
1,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,2,1,3,,1,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,
2,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,3,1,3,,,1,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
3,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,4,1,1,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,
4,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,5,1,2,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,
5,2018 People Staying Counts,MAP1,Weekday1_Morning,Weekday,Morning,20180802,0820,0830,,Heavy Clouds,58,UD4H,6,1,2,,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,
6,2018 People Staying Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1220,1230,,Heavy Clouds,60,UD4H,1,1,1,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,1,,1,,,1,,,,,,,,,,
7,2018 People Staying Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1220,1230,,Heavy Clouds,60,UD4H,2,1,1,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,1,,1,,,,,,,,
8,2018 People Staying Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1220,1230,,Heavy Clouds,60,UD4H,3,1,2,1,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,
9,2018 People Staying Counts,MAP1,Weekday1_Midday,Weekday,Midday,20180802,1220,1230,,Heavy Clouds,60,UD4H,4,1,2,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,1,,,,,,,,,,,,
