id,name,notes,location,startedAt,endedAt,modePedestrian
SFMove1,Memorial Court,Performance at Opera House ,"-122.420607358217, 37.7791134370415",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove2,Memorial Court,Performance at Opera House ,"-122.420607358217, 37.7791134370415",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove3,Van Ness at Mcallister,"10 am: 1 stroller; 11 am: 1 wheelchair; 1-2: 1 skateboard; 2-3: 1 wheelchair, 1 stroller; 4PM: 0W, 1S; 5PM: 0W, 0S; 6PM: 0W, 0S; 7PM: 1W, 1S","-122.420356571674, 37.7803991818182",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove4,Memorial Court,Performance at Opera House ,"-122.420607358217, 37.7791134370415",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove5,Civic Center crossing at Fulton Street,Hour 4: Almost all coming from east to west,"-122.41684153676, 37.7795787666528",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove6,Civic Center crossing at Fulton Street,Hour 4: Almost all coming from east to west,"-122.41684153676, 37.7795787666528",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove7,Civic Center crossing at Fulton Street,Hour 4: Almost all coming from east to west,"-122.41684153676, 37.7795787666528",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove8,Civic Center crossing at Fulton Street,Hour 4: Almost all coming from east to west,"-122.41684153676, 37.7795787666528",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove9,Memorial Court,Performance at Opera House ,"-122.420607358217, 37.7791134370415",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove10,Fulton at Pioneer Plaza,,"-122.416244745254, 37.7796519047808",09/22/17 08:00 PM,09/22/17 08:10 PM,1
SFMove11,Fulton at Pioneer Plaza,,"-122.416244745254, 37.7796519047808",09/22/17 10:00 PM,09/22/17 10:10 PM,1
SFMove12,Fulton at Pioneer Plaza,,"-122.416244745254, 37.7796519047808",09/22/17 09:00 PM,09/22/17 09:10 PM,1
SFMove13,Fulton at Pioneer Plaza,,"-122.416244745254, 37.7796519047808",09/22/17 07:00 PM,09/22/17 07:10 PM,1
SFMove14,Hyde at Fulton,SHN had show with security guards on duty,"-122.415010929107, 37.7791950556568",09/22/17 07:00 PM,09/22/17 07:10 PM,1
