id,name ,locationType ,unitAddress,surveyor ,startedAt ,endedAt ,modePedestrian ,genderMale ,genderFemale ,age15To24 ,age25To64 ,age0To14 ,age65Plus ,congregationPair ,congregationGroup ,postureStanding ,posturePhysicalActivities ,postureSitting ,postureSittingPrivate ,postureSittingPublic ,postureSittingMobile ,postureSittingWheelchair ,postureSittingStroller ,sittingInformal,postureSittingGround ,postureLeaning ,postureLying ,activityCulturallyEngaged ,activityCommercial ,activityCommercialInformal ,activityRunning ,activityPlaying ,activityInformalPlaying ,activityRollerbladingSkateboarding ,activityConsuming ,activityElectronics ,activityConversing,activityWatching,activityIdle,activityWaitingTransport ,activityWaitingCrosswalk,activityPet,activitySubstanceUse ,activityIntoxicated ,activitySleep ,activityPanhandling,activitiesUrinatingDefecating,activityLittering,objectLuggage,objectStroller,objectPushcart,objectPet,parkedBikeRack ,objectEmptyBikeRack ,parkedBikeOther ,parkedBikeRack ,bikeCounterTraffic ,bikeSidewalk ,bikeNoHelmet ,parkedBikeRack ,objectEmptyParklet ,parkedScooter ,parkedCar ,parkedVan,parkedTruck,parkedLoading ,parkedDouble ,objectEmptyParking ,parkedIllegally ,notes
1,LEAVENWOR2,plaza,"2 Leavenworth St San Francisco, CA 94102",Royi Noiman,04/05/16 05:11 PM,04/05/16 05:18 PM,50,15,4,0,0,0,0,2,1,2,0,0,0,0,0,0,0,7,0,3,2,0,0,0,0,0,0,0,1,2,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,UNITEDNAT511C,plaza,"51 United Nations Plz San Francisco, CA 94102",Urmila Janardan,04/05/16 07:08 PM,04/05/16 07:12 PM,21,4,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,LEAVENWOR2,plaza,"2 Leavenworth St San Francisco, CA 94102",Royi Noiman,04/05/16 06:00 PM,04/05/16 06:05 PM,99,28,2,0,0,0,0,5,3,17,0,0,0,0,0,0,0,8,0,3,1,0,0,0,0,0,0,0,1,7,10,7,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,UNITEDNAT512B,plaza,"51 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 07:07 PM,04/05/16 07:20 PM,180,27,8,21,0,1,12,4,7,26,0,0,0,0,0,2,1,12,0,0,4,0,2,2,0,0,0,0,0,1,25,10,0,0,0,2,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,UNITEDNAT512B,plaza,"51 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 06:00 PM,04/05/16 06:12 PM,130,18,12,18,0,0,9,2,2,6,0,0,0,0,2,2,0,13,0,3,1,0,2,2,0,0,0,0,2,7,10,10,0,3,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,UNITEDNAT502A,plaza,"50 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 06:12 PM,04/05/16 06:20 PM,78,18,0,9,0,0,8,0,1,5,0,0,0,0,0,0,0,10,0,2,2,4,0,0,0,0,0,0,3,0,0,10,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,UNITEDNAT501B,plaza,"50 United Nations Plz San Francisco, CA 94102",Urmila Janardan,04/05/16 07:05 PM,04/05/16 07:08 PM,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,LEAVENWOR2,plaza,"2 Leavenworth St San Francisco, CA 94102",Royi Noiman,04/05/16 07:00 PM,04/05/16 07:10 PM,80,23,4,0,0,1,0,2,0,6,0,0,0,0,0,0,0,16,0,3,0,0,0,1,0,0,0,0,1,4,11,4,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,UNITEDNAT512B,plaza,"51 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 05:05 PM,04/05/16 05:20 PM,124,20,12,14,0,0,8,3,3,4,0,0,0,4,1,1,1,13,0,3,0,0,3,3,0,0,0,0,5,3,14,1,0,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The food stand has a line of 20 people standing or waiting with their bikes.
10,UNITEDNAT502A,plaza,"50 United Nations Plz San Francisco, CA 94102",Qiqi Xu,04/05/16 07:00 PM,04/05/16 07:06 PM,79,17,3,16,0,1,1,1,1,6,0,0,0,1,0,0,0,13,0,0,0,5,0,0,0,0,0,0,2,0,3,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5 performance cultural were dancing
