id,name,unitAddress,surveyor ,climate ,temperature,startedAt ,endedAt ,modePedestrian,genderMale ,genderFemale ,age0To14 ,age25To64 ,age15To24 ,age65Plus ,activityRunning ,activityPlaying,activityRollerbladingSkateboarding ,activityConversing ,objectStroller,objectPushcart,notes
1268,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,66,06/10/14 12:02 PM,06/10/14 12:12 PM,49,25,24,0,8,0,6,1,0,0,0,0,0,
1269,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,66,06/10/14 12:26 PM,06/10/14 12:36 PM,41,17,24,0,2,0,4,0,0,0,1,0,0,
1270,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,66,06/10/14 01:28 PM,06/10/14 01:38 PM,31,15,16,0,1,0,3,0,0,1,1,0,0,
1271,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,66,06/10/14 01:02 PM,06/10/14 01:12 PM,64,30,34,0,13,0,3,0,0,1,0,0,0,
1272,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,cloudy,66,06/10/14 05:02 PM,06/10/14 05:12 PM,61,29,32,0,4,0,6,1,0,1,0,0,0,
1273,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,cloudy,66,06/10/14 05:24 PM,06/10/14 05:34 PM,69,36,33,0,3,0,2,1,0,1,0,0,0,
1274,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,cloudy,66,06/10/14 06:01 PM,06/10/14 06:11 PM,54,30,24,0,1,0,11,0,0,0,1,0,0,
1275,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,cloudy,66,06/10/14 06:19 PM,06/10/14 06:29 PM,59,20,39,0,0,0,2,2,0,0,0,0,0,
1276,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,66,06/11/14 12:23 PM,06/11/14 12:33 PM,22,15,7,0,0,0,1,0,0,1,0,0,0,
1277,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,66,06/11/14 12:02 PM,06/11/14 12:12 PM,40,34,6,0,0,0,1,0,0,0,0,0,0,
1278,FOLSOM1151,"1151 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,66,06/11/14 01:29 PM,06/11/14 01:39 PM,24,20,4,0,0,0,3,0,0,0,0,0,0,
1279,FOLSOM1150,"1150 Folsom St San Francisco, CA 94103",Justin Panganiban,sunny,66,06/11/14 01:08 PM,06/11/14 01:18 PM,23,14,9,0,0,0,6,0,0,0,1,0,0,
1280,BALBOA3450,"3450 Balboa St San Francisco, CA 94121",Tom Holub,cloudy,60,06/11/14 12:09 PM,06/11/14 12:19 PM,24,10,14,0,1,0,3,0,0,0,0,0,0,Virtually no bike traffic during 2-hour shift.
1281,BALBOA3451,"3451 Balboa St San Francisco, CA 94121",Tom Holub,cloudy,60,06/11/14 12:26 PM,06/11/14 12:36 PM,5,1,4,0,0,0,0,0,0,0,0,0,0,
1282,BALBOA3450,"3450 Balboa St San Francisco, CA 94121",Tom Holub,cloudy,60,06/11/14 01:02 PM,06/11/14 01:12 PM,28,16,12,0,5,0,1,0,0,0,0,0,0,
1283,BALBOA3451,"3451 Balboa St San Francisco, CA 94121",Tom Holub,cloudy,60,06/11/14 01:19 PM,06/11/14 01:29 PM,11,4,7,0,0,0,3,0,0,0,0,0,0,
1284,STOCKTON1550,"1550 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/10/14 12:38 PM,06/10/14 12:48 PM,145,73,72,0,14,0,19,0,0,0,0,0,0,
1285,STOCKTON1551,"1551 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/10/14 12:58 PM,06/10/14 01:08 PM,61,40,21,0,6,0,14,0,0,1,0,0,0,
1286,STOCKTON1550,"1550 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/10/14 01:12 PM,06/10/14 01:22 PM,103,59,44,0,15,0,14,1,0,0,0,0,0,
1287,STOCKTON1551,"1551 Stockton St San Francisco, CA 94133",Amir Hajrasouliha,sunny,66,06/10/14 12:24 PM,06/10/14 12:34 PM,78,40,38,0,3,0,19,0,0,0,0,0,0,
1288,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,70,06/14/14 12:01 PM,06/14/14 12:11 PM,58,33,25,0,4,0,3,1,0,2,1,0,0,
1289,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,70,06/14/14 12:23 PM,06/14/14 12:33 PM,60,33,27,0,2,0,6,0,0,1,0,0,0,
1290,VALENCIA950,"950 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,70,06/14/14 01:15 PM,06/14/14 01:25 PM,94,47,47,0,8,0,3,2,0,2,0,0,0,
1291,VALENCIA951,"951 Valencia St San Francisco, CA 94110",Justin Panganiban,sunny,70,06/14/14 01:32 PM,06/14/14 01:42 PM,75,35,40,0,3,0,1,0,0,2,0,0,0,
1292,MISSION4750,4750 Mission St,Sara Ameri,cloudy,63,06/10/14 01:05 PM,06/10/14 01:10 PM,18,9,9,0,0,0,1,0,0,0,0,0,0,
